text,color_palette
pasto,"#228B22,#32CD32,#7CFC00"
cielo,"#87CEEB,#4682B4,#00BFFF"
amanecer,"#FF4500,#FFD700,#FFA07A"
noche,"#191970,#000080,#000000"
mar,"#1E90FF,#00BFFF,#4682B4"
bosque,"#228B22,#6B8E23,#556B2F"
desierto,"#EDC9AF,#F4A460,#D2B48C"
puesta de sol,"#FF4500,#FF6347,#FFD700"
invierno,"#ADD8E6,#FFFFFF,#D3D3D3"
primavera,"#00FF7F,#FFFF00,#FF69B4"
verano,"#FF4500,#FFD700,#00FF00"
otoño,"#FFA500,#FF8C00,#A52A2A"
lago,"#1E90FF,#4682B4,#5F9EA0"
montaña,"#A9A9A9,#696969,#2F4F4F"
ciudad,"#708090,#778899,#B0C4DE"
campo,"#32CD32,#98FB98,#7CFC00"
amanecer,"#FFCC99,#FF9966,#FF6600"
anochecer,"#660066,#CC0066,#FF66CC"
otoño,"#FF6F00,#FFB300,#F57F17"
invierno,"#B0E0E6,#ADD8E6,#87CEFA"
verano,"#FFCC00,#FF6600,#FF3300"
primavera,"#FF99FF,#CC99FF,#9966FF"
noche,"#000033,#003366,#0066CC"
día,"#FFFF99,#FFFFCC,#FFFF00"
mediodía,"#FF6600,#FF9900,#FFCC00"
atardecer,"#FF6600,#FF9900,#FFCC00"
aurora,"#FF9999,#FF6666,#FF3333"
bosque,"#006400,#228B22,#32CD32"
desierto,"#F4A460,#D2B48C,#DAA520"
playa,"#00BFFF,#1E90FF,#4682B4"
mar,"#000080,#0000FF,#1E90FF"
océano,"#00008B,#0000FF,#4169E1"
río,"#4682B4,#00CED1,#20B2AA"
lago,"#5F9EA0,#00BFFF,#87CEFA"
montaña,"#A0522D,#D2691E,#8B4513"
valle,"#7CFC00,#00FF00,#32CD32"
ciudad,"#A9A9A9,#C0C0C0,#D3D3D3"
campo,"#9ACD32,#228B22,#6B8E23"
jardín,"#9ACD32,#00FF00,#6B8E23"
parque,"#008000,#006400,#228B22"
pasto,"#7CFC00,#ADFF2F,#00FF00"
césped,"#7CFC00,#00FF00,#00FF7F"
flor,"#FFC0CB,#FF69B4,#FF1493"
árbol,"#228B22,#2E8B57,#006400"
hoja,"#A2B5A7,#8B8B5A,#9ACD32"
nieve,"#FFFFFF,#E0FFFF,#B0E0E6"
hielo,"#E0FFFF,#F0F8FF,#B0E0E6"
roca,"#A9A9A9,#808080,#D3D3D3"
arena,"#F4A460,#D2B48C,#D2691E"
tierra,"#8B4513,#A0522D,#D2691E"
barro,"#8B4513,#D2691E,#A0522D"
sol,"#FFFF00,#FFD700,#FFA500"
luna,"#F0E68C,#FFFACD,#FAFAD2"
estrella,"#FFD700,#FFFF00,#FFFFE0"
nube,"#FFFFFF,#F0F8FF,#B0E0E6"
lluvia,"#00CED1,#48D1CC,#20B2AA"
tormenta,"#FF4500,#FF6347,#FF0000"
arco iris,"#FF4500,#FF6347,#FFD700"
fuego,"#FF4500,#FF6347,#FF0000"
lava,"#FF4500,#FF6347,#FFD700"
volcán,"#FF4500,#FF6347,#FFD700"
selva,"#228B22,#006400,#2E8B57"
cascada,"#00BFFF,#1E90FF,#87CEEB"
cueva,"#A52A2A,#8B4513,#D2691E"
costa,"#00CED1,#48D1CC,#20B2AA"
isla,"#00BFFF,#1E90FF,#87CEEB"
duna,"#F4A460,#D2B48C,#DEB887"
pantano,"#00FF00,#ADFF2F,#7CFC00"
cielo,"#87CEEB,#B0E0E6,#ADD8E6"
pradera,"#ADFF2F,#32CD32,#228B22"
pueblo,"#A9A9A9,#B0B0B0,#C0C0C0"
aldea,"#A9A9A9,#C0C0C0,#D3D3D3"
puerto,"#003366,#000080,#00008B"
muelle,"#003366,#000080,#00008B"
glaciar,"#00BFFF,#1E90FF,#4682B4"
tundra,"#D2B48C,#F4A460,#DEB887"
sabana,"#F4A460,#D2B48C,#DEB887"
cañón,"#8B4513,#D2691E,#A0522D"
acantilado,"#2F4F4F,#708090,#2E8B57"
plano,"#C0C0C0,#D3D3D3,#E0E0E0"
chaparrón,"#C0C0C0,#D3D3D3,#E0E0E0"
neblina,"#C0C0C0,#D3D3D3,#E0E0E0"
bruma,"#C0C0C0,#D3D3D3,#E0E0E0"
granizo,"#C0C0C0,#D3D3D3,#E0E0E0"
huracán,"#FF6347,#FF4500,#FF0000"
tifón,"#FF6347,#FF4500,#FF0000"
ciclón,"#FF6347,#FF4500,#FF0000"
tornado,"#FF6347,#FF4500,#FF0000"
tempestad,"#FF6347,#FF4500,#FF0000"
nevazón,"#FFFFFF,#E0FFFF,#B0E0E6"
ventisca,"#FFFFFF,#E0FFFF,#B0E0E6"
llovizna,"#E0FFFF,#B0E0E6,#ADD8E6"
chubasco,"#B0E0E6,#ADD8E6,#87CEEB"
aguanieve,"#E0FFFF,#B0E0E6,#ADD8E6"
rocío,"#B0E0E6,#ADD8E6,#87CEEB"
resplandor,"#FFFAF0,#F0F8FF,#F5F5F5"
claridad,"#F0F8FF,#F5F5F5,#FFFFFF"
penumbra,"#000000,#4B0082,#800080"
oscuridad,"#000000,#4B0082,#800080"
negrura,"#FFFF00,#FFFFE0,#FFFACD"
brillo,"#FFFFE0,#FFFACD,#F0F8FF"
fulgor,"#F0F8FF,#F5F5F5,#FFFFE0"
centella,"#FFFF00,#FFFFE0,#FFFACD"
chispa,"#FFD700,#F0E68C,#FFFAF0"
resplandecer,"#FFE4B5,#FFDEAD,#F5DEB3"
crepúsculo,"#FFB6C1,#FFA07A,#FF7F50"
penumbra,"#D3D3D3,#A9A9A9,#696969"
anochecer,"#000000,#696969,#808080"
desvanecerse,"#B0C4DE,#ADD8E6,#E0FFFF"
alba,"#FFFAF0,#FFF5EE,#FDF5E6"
brillo,"#FFD700,#FFA500,#FF4500"
sombra,"#708090,#778899,#B0C4DE"
transparencia,"#F5FFFA,#F0FFF0,#E0FFFF"
opacidad,"#FAEBD7,#FFEFDB,#FFEBCD"
relucir,"#FFFF00,#FFD700,#FFA500"
brillar,"#FFFACD,#FAFAD2,#FFEFD5"
refulgir,"#FFD700,#FFA500,#FF8C00"
destellar,"#00FFFF,#7FFFD4,#00CED1"
resplandecer,"#FFDAB9,#EEE8AA,#F0E68C"
relumbrar,"#D8BFD8,#DDA0DD,#EE82EE"
fulgurar,"#FFD700,#FFA500,#FF6347"
centellar,"#FFFF00,#FFD700,#FFA500"
iris,"#FF69B4,#FFB6C1,#FF1493"
prisma,"#FFE4C4,#FFDAB9,#FFDEAD"
saturación,"#FAEBD7,#FFE4B5,#FFFACD"
luminosidad,"#FFF8DC,#FFFAF0,#FFFFE0"
intensidad,"#00FF00,#32CD32,#7CFC00"
tono,"#FF6347,#FF4500,#FF0000"
matiz,"#FFD700,#FFA500,#FF8C00"
croma,"#00CED1,#40E0D0,#48D1CC"
sombra,"#696969,#A9A9A9,#D3D3D3"
espectro,"#800080,#8A2BE2,#9370DB"
gama,"#FF4500,#FF6347,#FF7F50"
gradiente,"#FF4500,#FFD700,#FF6347"
degradado,"#FAEBD7,#FFFACD,#FFEFD5"
coloración,"#FF6347,#FFA07A,#FF7F50"
pigmento,"#DAA520,#FFD700,#FF8C00"
tinte,"#DC143C,#B22222,#FF0000"
tonalidad,"#32CD32,#7CFC00,#00FF00"
colorete,"#FFD700,#FFA500,#FF8C00"
pigmentar,"#800000,#A52A2A,#B22222"
pintar,"#4682B4,#5F9EA0,#6495ED"
teñir,"#8B4513,#A0522D,#D2691E"
acarminar,"#FF1493,#FF69B4,#FFB6C1"
amapolar,"#FFA07A,#FF7F50,#FF4500"
azular,"#0000FF,#1E90FF,#4169E1"
enverdecer,"#00FF00,#32CD32,#228B22"
encarnar,"#FF6347,#FF4500,#FF0000"
amarillear,"#FFFF00,#FFD700,#FFA500"
ocrear,"#DAA520,#B8860B,#BDB76B"
blanquear,"#F8F8FF,#F5F5F5,#FFFAF0"
negrear,"#000000,#696969,#808080"
grisar,"#BEBEBE,#D3D3D3,#A9A9A9"
platear,"#C0C0C0,#DCDCDC,#E5E4E2"
dorar,"#FFD700,#DAA520,#B8860B"
broncear,"#CD7F32,#8B4513,#A0522D"
cobriar,"#B87333,#8B0000,#A52A2A"
rubí,"#FF0000,#B22222,#8B0000"
esmeralda,"#00FF00,#32CD32,#228B22"
zafiro,"#0000FF,#4169E1,#1E90FF"
ámbar,"#FFBF00,#FFD700,#FFA500"
jade,"#00A36C,#2E8B57,#3CB371"
coral,"#FF4500,#FF6347,#FF7F50"
turquesa,"#40E0D0,#48D1CC,#00CED1"
topacio,"#FFD700,#FFA500,#FF8C00"
granate,"#8B0000,#B22222,#DC143C"
rubí,"#FF0000,#B22222,#8B0000"
lapislázuli,"#191970,#000080,#00008B"
púrpura,"#800080,#8A2BE2,#9370DB"
violeta,"#EE82EE,#DA70D6,#DDA0DD"
añil,"#4B0082,#6A5ACD,#483D8B"
índigo,"#6A5ACD,#7B68EE,#8470FF"
lavanda,"#E6E6FA,#D8BFD8,#DDA0DD"
lila,"#DDA0DD,#EE82EE,#DA70D6"
malva,"#E0B0FF,#C71585,#DA70D6"
ciruela,"#DDA0DD,#8A2BE2,#9400D3"
magenta,"#FF00FF,#FF1493,#FF69B4"
rosa,"#FFC0CB,#FFB6C1,#FF69B4"
fucsia,"#FF00FF,#FF1493,#FF69B4"
carmesí,"#DC143C,#B22222,#8B0000"
rojo,"#FF0000,#FF4500,#FF6347"
bermellón,"#FF6347,#FF4500,#FF0000"
anaranjado,"#FFA500,#FF8C00,#FF4500"
naranja,"#FFA07A,#FF7F50,#FF4500"
coral,"#FF6347,#FFA07A,#FF7F50"
albaricoque,"#FFE4C4,#FFDAB9,#FFDEAD"
melocotón,"#FFDAB9,#FFE4B5,#FFEFD5"
oro,"#FFD700,#FFBF00,#FFC700"
amarillo,"#FFFF00,#F7E7CE,#F7F7F7"
crema,"#FFFDD0,#F5F5DC,#F5F5F5"
marfil,"#FFFFF0,#FFF8DC,#FAF0E6"
blanco,"#FFFFFF,#F5F5F5,#D3D3D3"
perla,"#E5E4E2,#C0C0C0,#D3D3D3"
gris,"#A9A9A9,#808080,#696969"
ceniza,"#BEBEBE,#A9A9A9,#808080"
carbón,"#2F4F4F,#696969,#000000"
negro,"#000000,#2F4F4F,#3B3B3B"
ébano,"#4B0082,#483D8B,#6A5ACD"
azul,"#0000FF,#1E90FF,#00008B"
celeste,"#87CEFA,#00BFFF,#4682B4"
turquesa,"#40E0D0,#48D1CC,#00CED1"
aguamarina,"#7FFFD4,#00FA9A,#00FF7F"
verde,"#32CD32,#00FF00,#228B22"
esmeralda,"#2E8B57,#228B22,#006400"
oliva,"#808000,#556B2F,#6B8E23"
lima,"#32CD32,#ADFF2F,#7FFF00"
menta,"#98FB98,#00FA9A,#00FF7F"
verde botella,"#006400,#2E8B57,#556B2F"
verde musgo,"#4B5320,#6B8E23,#556B2F"
verde pino,"#228B22,#2E8B57,#004d00"
café,"#8B4513,#A0522D,#D2691E"
marrón,"#A52A2A,#8B4513,#5D3A00"
castaño,"#5D3A00,#8B4513,#7B3F00"
chocolate,"#8B4513,#D2691E,#6F3B1A"
caoba,"#8B4513,#6B3F1A,#5A3F2B"
teca,"#A0522D,#8B4513,#5B3A2F"
madera,"#6F4F28,#8B5A3C,#3F2B1F"
nogal,"#6F4F28,#5C4033,#4A2C2A"
almendra,"#6F4F28,#5C4033,#4A2C2A"
avellana,"#8B4513,#6F4F28,#3F2B1F"
miel,"#FFD700,#FFC107,#FF8C00"
ámbar,"#FFC107,#FFA000,#FF8F00"
bronce,"#8B5A3C,#7C4D1D,#5D3A00"
latón,"#A52A2A,#B87333,#FF6347"
cobre,"#D2B48C,#C4A37D,#A0522D"
roble,"#8B4513,#8B5A3C,#D2691E"
pino,"#8B4513,#6F4F28,#3F2B1F"
abeto,"#5C4033,#8B5A3C,#3F2B1F"
caoba,"#6B3F1A,#8B5A3C,#3F2B1F"
